v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,1.1,1.1,0.0001351711,6.004284e-10,-0.000135171,-6.02215e-10
0.01,0.01,0.0,1.1,1.1,0.0001344559,5.88535e-10,-0.000134456,-5.90296e-10
0.02,0.02,0.0,1.1,1.1,0.0001337602,5.770131e-10,-0.00013376,-5.78749e-10
0.03,0.03,0.0,1.1,1.1,0.0001330677,5.65581e-10,-0.000133068,-5.67292e-10
0.04,0.04,0.0,1.1,1.1,0.0001323822,5.543299e-10,-0.000132382,-5.56016e-10
0.05,0.05,0.0,1.1,1.1,0.0001317028,5.43258e-10,-0.000131703,-5.4492e-10
0.06,0.06,0.0,1.1,1.1,0.0001310286,5.323632e-10,-0.000131029,-5.34e-10
0.07,0.07,0.0,1.1,1.1,0.0001303587,5.216437e-10,-0.000130359,-5.23256e-10
0.08,0.08,0.0,1.1,1.1,0.0001296923,5.110974e-10,-0.000129692,-5.12686e-10
0.09,0.09,0.0,1.1,1.1,0.0001290289,5.007224e-10,-0.000129029,-5.02287e-10
0.1,0.1,0.0,1.1,1.1,0.0001283677,4.90517e-10,-0.000128368,-4.92057e-10
0.11,0.11,0.0,1.1,1.1,0.0001277083,4.80479e-10,-0.000127708,-4.81995e-10
0.12,0.12,0.0,1.1,1.1,0.0001270501,4.706067e-10,-0.00012705,-4.72099e-10
0.13,0.13,0.0,1.1,1.1,0.0001263928,4.608982e-10,-0.000126393,-4.62367e-10
0.14,0.14,0.0,1.1,1.1,0.0001257359,4.513515e-10,-0.000125736,-4.52797e-10
0.15,0.15,0.0,1.1,1.1,0.0001250791,4.41965e-10,-0.000125079,-4.43387e-10
0.16,0.16,0.0,1.1,1.1,0.000124422,4.327366e-10,-0.000124422,-4.34135e-10
0.17,0.17,0.0,1.1,1.1,0.0001237645,4.236646e-10,-0.000123764,-4.2504e-10
0.18,0.18,0.0,1.1,1.1,0.0001231062,4.147471e-10,-0.000123106,-4.16099e-10
0.19,0.19,0.0,1.1,1.1,0.0001224469,4.059823e-10,-0.000122447,-4.07312e-10
0.2,0.2,0.0,1.1,1.1,0.0001217864,3.973684e-10,-0.000121786,-3.98675e-10
