v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,1.1,1.1,8.636724e-05,3.770132e-10,-8.63672e-05,-3.78555e-10
0.01,0.01,0.0,1.1,1.1,8.590459e-05,3.695453e-10,-8.59046e-05,-3.71067e-10
0.02,0.02,0.0,1.1,1.1,8.545524e-05,3.623105e-10,-8.54552e-05,-3.63813e-10
0.03,0.03,0.0,1.1,1.1,8.500801e-05,3.551322e-10,-8.5008e-05,-3.56615e-10
0.04,0.04,0.0,1.1,1.1,8.456562e-05,3.480676e-10,-8.45656e-05,-3.49531e-10
0.05,0.05,0.0,1.1,1.1,8.412742e-05,3.411155e-10,-8.41274e-05,-3.42559e-10
0.06,0.06,0.0,1.1,1.1,8.369278e-05,3.342746e-10,-8.36928e-05,-3.35699e-10
0.07,0.07,0.0,1.1,1.1,8.326115e-05,3.275437e-10,-8.32612e-05,-3.28949e-10
0.08,0.08,0.0,1.1,1.1,8.283204e-05,3.209216e-10,-8.2832e-05,-3.22308e-10
0.09,0.09,0.0,1.1,1.1,8.240497e-05,3.144071e-10,-8.2405e-05,-3.15774e-10
0.1,0.1,0.0,1.1,1.1,8.197955e-05,3.07999e-10,-8.19796e-05,-3.09347e-10
0.11,0.11,0.0,1.1,1.1,8.155541e-05,3.016961e-10,-8.15554e-05,-3.03025e-10
0.12,0.12,0.0,1.1,1.1,8.113222e-05,2.954972e-10,-8.11322e-05,-2.96807e-10
0.13,0.13,0.0,1.1,1.1,8.070969e-05,2.894012e-10,-8.07097e-05,-2.90693e-10
0.14,0.14,0.0,1.1,1.1,8.028755e-05,2.834068e-10,-8.02876e-05,-2.8468e-10
0.15,0.15,0.0,1.1,1.1,7.986558e-05,2.775129e-10,-7.98656e-05,-2.78767e-10
0.16,0.16,0.0,1.1,1.1,7.944358e-05,2.717183e-10,-7.94436e-05,-2.72954e-10
0.17,0.17,0.0,1.1,1.1,7.902134e-05,2.660219e-10,-7.90213e-05,-2.67239e-10
0.18,0.18,0.0,1.1,1.1,7.859872e-05,2.604226e-10,-7.85987e-05,-2.61621e-10
0.19,0.19,0.0,1.1,1.1,7.817555e-05,2.549191e-10,-7.81755e-05,-2.561e-10
0.2,0.2,0.0,1.1,1.1,7.77517e-05,2.495104e-10,-7.77517e-05,-2.50673e-10
0.21,0.21,0.0,1.1,1.1,7.732703e-05,2.441953e-10,-7.7327e-05,-2.45339e-10
0.22,0.22,0.0,1.1,1.1,7.690142e-05,2.389728e-10,-7.69014e-05,-2.40099e-10
0.23,0.23,0.0,1.1,1.1,7.647475e-05,2.338416e-10,-7.64747e-05,-2.3495e-10
0.24,0.24,0.0,1.1,1.1,7.60469e-05,2.288006e-10,-7.60469e-05,-2.29891e-10
0.25,0.25,0.0,1.1,1.1,7.561774e-05,2.238489e-10,-7.56177e-05,-2.24921e-10
0.26,0.26,0.0,1.1,1.1,7.518716e-05,2.189852e-10,-7.51872e-05,-2.2004e-10
0.27,0.27,0.0,1.1,1.1,7.475502e-05,2.142085e-10,-7.4755e-05,-2.15246e-10
0.28,0.28,0.0,1.1,1.1,7.432118e-05,2.095176e-10,-7.43212e-05,-2.10537e-10
0.29,0.29,0.0,1.1,1.1,7.38855e-05,2.049116e-10,-7.38855e-05,-2.05914e-10
0.3,0.3,0.0,1.1,1.1,7.344783e-05,2.003892e-10,-7.34478e-05,-2.01374e-10
0.31,0.31,0.0,1.1,1.1,7.300799e-05,1.959495e-10,-7.3008e-05,-1.96917e-10
0.32,0.32,0.0,1.1,1.1,7.25658e-05,1.915914e-10,-7.25658e-05,-1.92542e-10
0.33,0.33,0.0,1.1,1.1,7.212106e-05,1.873138e-10,-7.21211e-05,-1.88247e-10
0.34,0.34,0.0,1.1,1.1,7.167355e-05,1.831157e-10,-7.16736e-05,-1.84032e-10
0.35,0.35,0.0,1.1,1.1,7.122304e-05,1.78996e-10,-7.1223e-05,-1.79896e-10
0.36,0.36,0.0,1.1,1.1,7.076927e-05,1.749536e-10,-7.07693e-05,-1.75837e-10
0.37,0.37,0.0,1.1,1.1,7.031194e-05,1.709876e-10,-7.03119e-05,-1.71854e-10
0.38,0.38,0.0,1.1,1.1,6.985076e-05,1.670968e-10,-6.98508e-05,-1.67947e-10
0.39,0.39,0.0,1.1,1.1,6.938538e-05,1.632804e-10,-6.93854e-05,-1.64114e-10
0.4,0.4,0.0,1.1,1.1,6.891543e-05,1.595371e-10,-6.89154e-05,-1.60355e-10
0.41,0.41,0.0,1.1,1.1,6.84405e-05,1.558662e-10,-6.84405e-05,-1.56667e-10
0.42,0.42,0.0,1.1,1.1,6.796016e-05,1.522664e-10,-6.79602e-05,-1.53052e-10
0.43,0.43,0.0,1.1,1.1,6.747391e-05,1.487368e-10,-6.74739e-05,-1.49506e-10
0.44,0.44,0.0,1.1,1.1,6.698124e-05,1.452765e-10,-6.69812e-05,-1.4603e-10
0.45,0.45,0.0,1.1,1.1,6.648158e-05,1.418844e-10,-6.64816e-05,-1.42622e-10
0.46,0.46,0.0,1.1,1.1,6.597431e-05,1.385595e-10,-6.59743e-05,-1.39282e-10
0.47,0.47,0.0,1.1,1.1,6.545879e-05,1.353009e-10,-6.54588e-05,-1.36008e-10
0.48,0.48,0.0,1.1,1.1,6.493431e-05,1.321075e-10,-6.49343e-05,-1.328e-10
0.49,0.49,0.0,1.1,1.1,6.440015e-05,1.289785e-10,-6.44001e-05,-1.29656e-10
0.5,0.5,0.0,1.1,1.1,6.385553e-05,1.259128e-10,-6.38555e-05,-1.26575e-10
0.51,0.51,0.0,1.1,1.1,6.329967e-05,1.229096e-10,-6.32997e-05,-1.23558e-10
0.52,0.52,0.0,1.1,1.1,6.273176e-05,1.199677e-10,-6.27318e-05,-1.20601e-10
0.53,0.53,0.0,1.1,1.1,6.2151e-05,1.170864e-10,-6.2151e-05,-1.17706e-10
0.54,0.54,0.0,1.1,1.1,6.15566e-05,1.142647e-10,-6.15566e-05,-1.1487e-10
0.55,0.55,0.0,1.1,1.1,6.094779e-05,1.115016e-10,-6.09478e-05,-1.12093e-10
0.56,0.56,0.0,1.1,1.1,6.032386e-05,1.087962e-10,-6.03239e-05,-1.09374e-10
0.57,0.57,0.0,1.1,1.1,5.968417e-05,1.061476e-10,-5.96842e-05,-1.06712e-10
0.58,0.58,0.0,1.1,1.1,5.902813e-05,1.035549e-10,-5.90281e-05,-1.04107e-10
0.59,0.59,0.0,1.1,1.1,5.835525e-05,1.010172e-10,-5.83552e-05,-1.01556e-10
0.6,0.6,0.0,1.1,1.1,5.766512e-05,9.85336e-11,-5.76651e-05,-9.90597e-11
0.61,0.61,0.0,1.1,1.1,5.695743e-05,9.61032e-11,-5.69574e-05,-9.66167e-11
0.62,0.62,0.0,1.1,1.1,5.623193e-05,9.372513e-11,-5.62319e-05,-9.42264e-11
