v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,1.1,1.1,0.0002812309,1.270674e-09,-0.000281231,-1.27319e-09
0.01,0.01,0.0,1.1,1.1,0.0002797601,1.245504e-09,-0.00027976,-1.24798e-09
0.02,0.02,0.0,1.1,1.1,0.0002783276,1.221121e-09,-0.000278328,-1.22356e-09
0.03,0.03,0.0,1.1,1.1,0.0002769011,1.196927e-09,-0.000276901,-1.19932e-09
0.04,0.04,0.0,1.1,1.1,0.0002754883,1.173117e-09,-0.000275488,-1.17547e-09
0.05,0.05,0.0,1.1,1.1,0.0002740872,1.149686e-09,-0.000274087,-1.152e-09
0.06,0.06,0.0,1.1,1.1,0.0002726961,1.126629e-09,-0.000272696,-1.1289e-09
0.07,0.07,0.0,1.1,1.1,0.0002713132,1.103944e-09,-0.000271313,-1.10618e-09
0.08,0.08,0.0,1.1,1.1,0.000269937,1.081625e-09,-0.000269937,-1.08382e-09
0.09,0.09,0.0,1.1,1.1,0.0002685663,1.059668e-09,-0.000268566,-1.06182e-09
0.1,0.1,0.0,1.1,1.1,0.0002671998,1.038071e-09,-0.0002672,-1.04019e-09
0.11,0.11,0.0,1.1,1.1,0.0002658364,1.016828e-09,-0.000265836,-1.0189e-09
0.12,0.12,0.0,1.1,1.1,0.0002644752,9.95935e-10,-0.000264475,-9.97973e-10
0.13,0.13,0.0,1.1,1.1,0.0002631153,9.753891e-10,-0.000263115,-9.77388e-10
0.14,0.14,0.0,1.1,1.1,0.0002617559,9.551858e-10,-0.000261756,-9.57147e-10
0.15,0.15,0.0,1.1,1.1,0.0002603963,9.353211e-10,-0.000260396,-9.37244e-10
0.16,0.16,0.0,1.1,1.1,0.000259036,9.157913e-10,-0.000259036,-9.17677e-10
0.17,0.17,0.0,1.1,1.1,0.0002576743,8.965924e-10,-0.000257674,-8.98441e-10
0.18,0.18,0.0,1.1,1.1,0.0002563108,8.777205e-10,-0.000256311,-8.79532e-10
0.19,0.19,0.0,1.1,1.1,0.000254945,8.591718e-10,-0.000254945,-8.60946e-10
0.2,0.2,0.0,1.1,1.1,0.0002535765,8.409425e-10,-0.000253577,-8.42681e-10
0.21,0.21,0.0,1.1,1.1,0.0002522048,8.230287e-10,-0.000252205,-8.24731e-10
0.22,0.22,0.0,1.1,1.1,0.0002508296,8.054267e-10,-0.00025083,-8.07093e-10
0.23,0.23,0.0,1.1,1.1,0.0002494504,7.881326e-10,-0.00024945,-7.89763e-10
0.24,0.24,0.0,1.1,1.1,0.0002480669,7.711428e-10,-0.000248067,-7.72738e-10
0.25,0.25,0.0,1.1,1.1,0.0002466787,7.544536e-10,-0.000246679,-7.56014e-10
0.26,0.26,0.0,1.1,1.1,0.0002452853,7.380611e-10,-0.000245285,-7.39586e-10
0.27,0.27,0.0,1.1,1.1,0.0002438862,7.219618e-10,-0.000243886,-7.23452e-10
0.28,0.28,0.0,1.1,1.1,0.0002424811,7.061519e-10,-0.000242481,-7.07608e-10
0.29,0.29,0.0,1.1,1.1,0.0002410694,6.906278e-10,-0.000241069,-6.9205e-10
0.3,0.3,0.0,1.1,1.1,0.0002396506,6.753858e-10,-0.000239651,-6.76775e-10
0.31,0.31,0.0,1.1,1.1,0.000238224,6.604224e-10,-0.000238224,-6.61778e-10
0.32,0.32,0.0,1.1,1.1,0.0002367891,6.45734e-10,-0.000236789,-6.47057e-10
0.33,0.33,0.0,1.1,1.1,0.0002353451,6.313169e-10,-0.000235345,-6.32607e-10
0.34,0.34,0.0,1.1,1.1,0.0002338913,6.171676e-10,-0.000233891,-6.18425e-10
0.35,0.35,0.0,1.1,1.1,0.0002324268,6.032826e-10,-0.000232427,-6.04508e-10
0.36,0.36,0.0,1.1,1.1,0.0002309508,5.896584e-10,-0.000230951,-5.90852e-10
0.37,0.37,0.0,1.1,1.1,0.0002294622,5.762914e-10,-0.000229462,-5.77454e-10
0.38,0.38,0.0,1.1,1.1,0.0002279599,5.631782e-10,-0.00022796,-5.6431e-10
0.39,0.39,0.0,1.1,1.1,0.0002264428,5.503153e-10,-0.000226443,-5.51417e-10
0.4,0.4,0.0,1.1,1.1,0.0002249096,5.376992e-10,-0.00022491,-5.3877e-10
0.41,0.41,0.0,1.1,1.1,0.0002233588,5.253266e-10,-0.000223359,-5.26368e-10
0.42,0.42,0.0,1.1,1.1,0.0002217889,5.131941e-10,-0.000221789,-5.14206e-10
0.43,0.43,0.0,1.1,1.1,0.0002201982,5.012981e-10,-0.000220198,-5.02281e-10
0.44,0.44,0.0,1.1,1.1,0.000218585,4.896355e-10,-0.000218585,-4.9059e-10
0.45,0.45,0.0,1.1,1.1,0.0002169472,4.782028e-10,-0.000216947,-4.7913e-10
0.46,0.46,0.0,1.1,1.1,0.0002152828,4.669967e-10,-0.000215283,-4.67896e-10
0.47,0.47,0.0,1.1,1.1,0.0002135895,4.56014e-10,-0.00021359,-4.56887e-10
0.48,0.48,0.0,1.1,1.1,0.0002118651,4.452513e-10,-0.000211865,-4.46098e-10
0.49,0.49,0.0,1.1,1.1,0.0002101069,4.347053e-10,-0.000210107,-4.35526e-10
0.5,0.5,0.0,1.1,1.1,0.0002083126,4.243728e-10,-0.000208313,-4.25168e-10
0.51,0.51,0.0,1.1,1.1,0.0002064794,4.142507e-10,-0.000206479,-4.15022e-10
0.52,0.52,0.0,1.1,1.1,0.0002046049,4.043357e-10,-0.000204605,-4.05083e-10
0.53,0.53,0.0,1.1,1.1,0.0002026863,3.946246e-10,-0.000202686,-3.95349e-10
0.54,0.54,0.0,1.1,1.1,0.0002007212,3.851142e-10,-0.000200721,-3.85816e-10
0.55,0.55,0.0,1.1,1.1,0.0001987074,3.758016e-10,-0.000198707,-3.76481e-10
0.56,0.56,0.0,1.1,1.1,0.0001966426,3.666834e-10,-0.000196643,-3.67342e-10
0.57,0.57,0.0,1.1,1.1,0.0001945249,3.577567e-10,-0.000194525,-3.58395e-10
0.58,0.58,0.0,1.1,1.1,0.0001923527,3.490184e-10,-0.000192353,-3.49637e-10
0.59,0.59,0.0,1.1,1.1,0.0001901247,3.404654e-10,-0.000190125,-3.41065e-10
0.6,0.6,0.0,1.1,1.1,0.0001878397,3.320947e-10,-0.00018784,-3.32675e-10
0.61,0.61,0.0,1.1,1.1,0.000185497,3.239034e-10,-0.000185497,-3.24466e-10
0.62,0.62,0.0,1.1,1.1,0.0001830961,3.158884e-10,-0.000183096,-3.16434e-10
0.63,0.63,0.0,1.1,1.1,0.0001806366,3.080468e-10,-0.000180637,-3.08576e-10
0.64,0.64,0.0,1.1,1.1,0.0001781184,3.003758e-10,-0.000178118,-3.00889e-10
0.65,0.65,0.0,1.1,1.1,0.0001755416,2.928723e-10,-0.000175542,-2.9337e-10
0.66,0.66,0.0,1.1,1.1,0.0001729062,2.855336e-10,-0.000172906,-2.86016e-10
0.67,0.67,0.0,1.1,1.1,0.0001702124,2.783568e-10,-0.000170212,-2.78824e-10
0.68,0.68,0.0,1.1,1.1,0.0001674604,2.713391e-10,-0.00016746,-2.71792e-10
0.69,0.69,0.0,1.1,1.1,0.0001646505,2.644777e-10,-0.000164651,-2.64917e-10
0.7,0.7,0.0,1.1,1.1,0.000161783,2.577698e-10,-0.000161783,-2.58195e-10
0.71,0.71,0.0,1.1,1.1,0.000158858,2.512127e-10,-0.000158858,-2.51625e-10
0.72,0.72,0.0,1.1,1.1,0.0001558758,2.448037e-10,-0.000155876,-2.45203e-10
0.73,0.73,0.0,1.1,1.1,0.0001528365,2.385401e-10,-0.000152836,-2.38926e-10
0.74,0.74,0.0,1.1,1.1,0.0001497403,2.324193e-10,-0.00014974,-2.32793e-10
0.75,0.75,0.0,1.1,1.1,0.0001465873,2.264386e-10,-0.000146587,-2.268e-10
0.76,0.76,0.0,1.1,1.1,0.0001433776,2.205954e-10,-0.000143378,-2.20944e-10
0.77,0.77,0.0,1.1,1.1,0.0001401113,2.148872e-10,-0.000140111,-2.15224e-10
0.78,0.78,0.0,1.1,1.1,0.0001367885,2.093114e-10,-0.000136788,-2.09636e-10
0.79,0.79,0.0,1.1,1.1,0.000133409,2.038655e-10,-0.000133409,-2.04179e-10
0.8,0.8,0.0,1.1,1.1,0.0001299729,1.985471e-10,-0.000129973,-1.98849e-10
0.81,0.81,0.0,1.1,1.1,0.0001264803,1.933537e-10,-0.00012648,-1.93644e-10
0.82,0.82,0.0,1.1,1.1,0.0001229309,1.882828e-10,-0.000122931,-1.88561e-10
0.83,0.83,0.0,1.1,1.1,0.0001193248,1.833321e-10,-0.000119325,-1.836e-10
0.84,0.84,0.0,1.1,1.1,0.0001156618,1.784992e-10,-0.000115662,-1.78755e-10
0.85,0.85,0.0,1.1,1.1,0.000111942,1.737818e-10,-0.000111942,-1.74027e-10
0.86,0.86,0.0,1.1,1.1,0.0001081651,1.691775e-10,-0.000108165,-1.69412e-10
0.87,0.87,0.0,1.1,1.1,0.000104331,1.646841e-10,-0.000104331,-1.64907e-10
0.88,0.88,0.0,1.1,1.1,0.0001004397,1.602994e-10,-0.00010044,-1.60512e-10
0.89,0.89,0.0,1.1,1.1,9.649092e-05,1.560211e-10,-9.64909e-05,-1.56223e-10
0.9,0.9,0.0,1.1,1.1,9.248458e-05,1.518471e-10,-9.24846e-05,-1.52038e-10
0.91,0.91,0.0,1.1,1.1,8.842053e-05,1.477752e-10,-8.84205e-05,-1.47955e-10
0.92,0.92,0.0,1.1,1.1,8.42986e-05,1.438033e-10,-8.42986e-05,-1.43973e-10
0.93,0.93,0.0,1.1,1.1,8.011863e-05,1.399292e-10,-8.01186e-05,-1.40088e-10
0.94,0.94,0.0,1.1,1.1,7.588044e-05,1.36151e-10,-7.58804e-05,-1.36299e-10
0.95,0.95,0.0,1.1,1.1,7.158387e-05,1.324666e-10,-7.15839e-05,-1.32604e-10
0.96,0.96,0.0,1.1,1.1,6.722873e-05,1.28874e-10,-6.72287e-05,-1.29001e-10
0.97,0.97,0.0,1.1,1.1,6.281485e-05,1.253712e-10,-6.28149e-05,-1.25488e-10
0.98,0.98,0.0,1.1,1.1,5.834204e-05,1.219563e-10,-5.8342e-05,-1.22063e-10
0.99,0.99,0.0,1.1,1.1,5.381011e-05,1.186274e-10,-5.38101e-05,-1.18723e-10
1.0,1.0,0.0,1.1,1.1,4.921887e-05,1.153826e-10,-4.92189e-05,-1.15468e-10
1.01,1.01,0.0,1.1,1.1,4.456812e-05,1.122201e-10,-4.45681e-05,-1.12295e-10
1.02,1.02,0.0,1.1,1.1,3.985766e-05,1.09138e-10,-3.98577e-05,-1.09203e-10
1.03,1.03,0.0,1.1,1.1,3.50873e-05,1.061345e-10,-3.50873e-05,-1.06189e-10
1.04,1.04,0.0,1.1,1.1,3.025683e-05,1.03208e-10,-3.02568e-05,-1.03252e-10
1.05,1.05,0.0,1.1,1.1,2.536604e-05,1.003566e-10,-2.5366e-05,-1.00391e-10
1.06,1.06,0.0,1.1,1.1,2.041473e-05,9.757865e-11,-2.04147e-05,-9.76026e-11
1.07,1.07,0.0,1.1,1.1,1.540268e-05,9.487252e-11,-1.54027e-05,-9.48863e-11
1.08,1.08,0.0,1.1,1.1,1.032969e-05,9.223654e-11,-1.03297e-05,-9.22401e-11
1.09,1.09,0.0,1.1,1.1,5.195534e-06,8.966909e-11,-5.19553e-06,-8.96625e-11
1.1,1.1,0.0,1.1,1.1,-8.38487e-15,8.716856e-11,-8.38432e-15,-8.71518e-11
0.0,0.0,0.1,1.1,1.1,0.0002461228,3.157954e-10,-0.000246123,-3.18284e-10
0.01,0.01,0.1,1.1,1.1,0.0002445452,3.080632e-10,-0.000244545,-3.10512e-10
0.02,0.02,0.1,1.1,1.1,0.0002430398,3.006547e-10,-0.00024304,-3.03066e-10
0.03,0.03,0.1,1.1,1.1,0.0002415474,2.933233e-10,-0.000241547,-2.95696e-10
0.04,0.04,0.1,1.1,1.1,0.0002400835,2.861477e-10,-0.000240084,-2.88482e-10
0.05,0.05,0.1,1.1,1.1,0.0002386451,2.791254e-10,-0.000238645,-2.81422e-10
0.06,0.06,0.1,1.1,1.1,0.0002372296,2.722537e-10,-0.00023723,-2.74513e-10
0.07,0.07,0.1,1.1,1.1,0.0002358342,2.655303e-10,-0.000235834,-2.67752e-10
0.08,0.08,0.1,1.1,1.1,0.0002344568,2.589526e-10,-0.000234457,-2.61137e-10
0.09,0.09,0.1,1.1,1.1,0.0002330952,2.525182e-10,-0.000233095,-2.54666e-10
0.1,0.1,0.1,1.1,1.1,0.0002317472,2.462245e-10,-0.000231747,-2.48336e-10
0.11,0.11,0.1,1.1,1.1,0.0002304112,2.400692e-10,-0.000230411,-2.42144e-10
0.12,0.12,0.1,1.1,1.1,0.0002290854,2.340499e-10,-0.000229085,-2.36088e-10
0.13,0.13,0.1,1.1,1.1,0.0002277684,2.281641e-10,-0.000227768,-2.30167e-10
0.14,0.14,0.1,1.1,1.1,0.0002264587,2.224095e-10,-0.000226459,-2.24377e-10
0.15,0.15,0.1,1.1,1.1,0.0002251551,2.167838e-10,-0.000225155,-2.18715e-10
0.16,0.16,0.1,1.1,1.1,0.0002238566,2.112847e-10,-0.000223857,-2.13181e-10
0.17,0.17,0.1,1.1,1.1,0.000222562,2.059098e-10,-0.000222562,-2.07771e-10
0.18,0.18,0.1,1.1,1.1,0.0002212706,2.00657e-10,-0.000221271,-2.02484e-10
0.19,0.19,0.1,1.1,1.1,0.0002199815,1.955239e-10,-0.000219981,-1.97316e-10
0.2,0.2,0.1,1.1,1.1,0.000218694,1.905083e-10,-0.000218694,-1.92267e-10
0.21,0.21,0.1,1.1,1.1,0.0002174075,1.856082e-10,-0.000217408,-1.87332e-10
0.22,0.22,0.1,1.1,1.1,0.0002161215,1.808211e-10,-0.000216121,-1.82512e-10
0.23,0.23,0.1,1.1,1.1,0.0002148354,1.761452e-10,-0.000214835,-1.77802e-10
0.24,0.24,0.1,1.1,1.1,0.0002135488,1.715781e-10,-0.000213549,-1.73202e-10
0.25,0.25,0.1,1.1,1.1,0.0002122612,1.671179e-10,-0.000212261,-1.68709e-10
0.26,0.26,0.1,1.1,1.1,0.0002109724,1.627625e-10,-0.000210972,-1.64321e-10
0.27,0.27,0.1,1.1,1.1,0.0002096819,1.585097e-10,-0.000209682,-1.60035e-10
0.28,0.28,0.1,1.1,1.1,0.0002083894,1.543577e-10,-0.000208389,-1.55851e-10
0.29,0.29,0.1,1.1,1.1,0.0002070946,1.503044e-10,-0.000207095,-1.51766e-10
0.3,0.3,0.1,1.1,1.1,0.0002057972,1.463478e-10,-0.000205797,-1.47777e-10
0.31,0.31,0.1,1.1,1.1,0.0002044968,1.424861e-10,-0.000204497,-1.43884e-10
0.32,0.32,0.1,1.1,1.1,0.0002031931,1.387172e-10,-0.000203193,-1.40084e-10
0.33,0.33,0.1,1.1,1.1,0.0002018857,1.350393e-10,-0.000201886,-1.36375e-10
0.34,0.34,0.1,1.1,1.1,0.0002005744,1.314506e-10,-0.000200574,-1.32756e-10
0.35,0.35,0.1,1.1,1.1,0.0001992586,1.279492e-10,-0.000199259,-1.29224e-10
0.36,0.36,0.1,1.1,1.1,0.0001979381,1.245332e-10,-0.000197938,-1.25778e-10
0.37,0.37,0.1,1.1,1.1,0.0001966122,1.21201e-10,-0.000196612,-1.22416e-10
0.38,0.38,0.1,1.1,1.1,0.0001952805,1.179508e-10,-0.000195281,-1.19136e-10
0.39,0.39,0.1,1.1,1.1,0.0001939425,1.147808e-10,-0.000193943,-1.15937e-10
0.4,0.4,0.1,1.1,1.1,0.0001925976,1.116893e-10,-0.000192598,-1.12816e-10
0.41,0.41,0.1,1.1,1.1,0.000191245,1.086746e-10,-0.000191245,-1.09773e-10
0.42,0.42,0.1,1.1,1.1,0.0001898842,1.057351e-10,-0.000189884,-1.06805e-10
0.43,0.43,0.1,1.1,1.1,0.0001885142,1.028692e-10,-0.000188514,-1.03911e-10
0.44,0.44,0.1,1.1,1.1,0.0001871342,1.000753e-10,-0.000187134,-1.01089e-10
0.45,0.45,0.1,1.1,1.1,0.0001857432,9.735174e-11,-0.000185743,-9.83377e-11
0.46,0.46,0.1,1.1,1.1,0.0001843403,9.469703e-11,-0.00018434,-9.56559e-11
0.47,0.47,0.1,1.1,1.1,0.0001829241,9.210961e-11,-0.000182924,-9.30418e-11
0.48,0.48,0.1,1.1,1.1,0.0001814935,8.958802e-11,-0.000181493,-9.04936e-11
0.49,0.49,0.1,1.1,1.1,0.0001800469,8.713076e-11,-0.000180047,-8.80103e-11
0.5,0.5,0.1,1.1,1.1,0.0001785828,8.473638e-11,-0.000178583,-8.55902e-11
0.51,0.51,0.1,1.1,1.1,0.0001770996,8.240347e-11,-0.0001771,-8.32318e-11
0.52,0.52,0.1,1.1,1.1,0.0001755952,8.013064e-11,-0.000175595,-8.09341e-11
0.53,0.53,0.1,1.1,1.1,0.0001740678,7.791649e-11,-0.000174068,-7.86955e-11
0.54,0.54,0.1,1.1,1.1,0.0001725151,7.57597e-11,-0.000172515,-7.65147e-11
0.55,0.55,0.1,1.1,1.1,0.0001709346,7.365894e-11,-0.000170935,-7.43904e-11
0.56,0.56,0.1,1.1,1.1,0.000169324,7.161288e-11,-0.000169324,-7.23212e-11
0.57,0.57,0.1,1.1,1.1,0.0001676805,6.962025e-11,-0.00016768,-7.03061e-11
0.58,0.58,0.1,1.1,1.1,0.0001660013,6.767985e-11,-0.000166001,-6.83436e-11
0.59,0.59,0.1,1.1,1.1,0.0001642837,6.579036e-11,-0.000164284,-6.64327e-11
0.6,0.6,0.1,1.1,1.1,0.0001625248,6.395066e-11,-0.000162525,-6.4572e-11
0.61,0.61,0.1,1.1,1.1,0.0001607216,6.215953e-11,-0.000160722,-6.27606e-11
0.62,0.62,0.1,1.1,1.1,0.0001588716,6.041578e-11,-0.000158872,-6.09971e-11
0.63,0.63,0.1,1.1,1.1,0.0001569721,5.871835e-11,-0.000156972,-5.92806e-11
0.64,0.64,0.1,1.1,1.1,0.0001550207,5.706605e-11,-0.000155021,-5.76097e-11
0.65,0.65,0.1,1.1,1.1,0.0001530154,5.545782e-11,-0.000153015,-5.59836e-11
0.66,0.66,0.1,1.1,1.1,0.0001509544,5.389258e-11,-0.000150954,-5.44012e-11
0.67,0.67,0.1,1.1,1.1,0.0001488362,5.23693e-11,-0.000148836,-5.28611e-11
0.68,0.68,0.1,1.1,1.1,0.0001466596,5.088695e-11,-0.00014666,-5.13624e-11
0.69,0.69,0.1,1.1,1.1,0.0001444237,4.944449e-11,-0.000144424,-4.99042e-11
0.7,0.7,0.1,1.1,1.1,0.0001421278,4.804097e-11,-0.000142128,-4.84855e-11
0.71,0.71,0.1,1.1,1.1,0.0001397716,4.667541e-11,-0.000139772,-4.71052e-11
0.72,0.72,0.1,1.1,1.1,0.0001373547,4.534685e-11,-0.000137355,-4.57622e-11
0.73,0.73,0.1,1.1,1.1,0.0001348771,4.40544e-11,-0.000134877,-4.44558e-11
0.74,0.74,0.1,1.1,1.1,0.0001323386,4.279711e-11,-0.000132339,-4.31849e-11
0.75,0.75,0.1,1.1,1.1,0.0001297393,4.157415e-11,-0.000129739,-4.19485e-11
0.76,0.76,0.1,1.1,1.1,0.0001270792,4.038461e-11,-0.000127079,-4.0746e-11
0.77,0.77,0.1,1.1,1.1,0.0001243584,3.922766e-11,-0.000124358,-3.95764e-11
0.78,0.78,0.1,1.1,1.1,0.0001215769,3.810248e-11,-0.000121577,-3.84386e-11
0.79,0.79,0.1,1.1,1.1,0.0001187348,3.700822e-11,-0.000118735,-3.73322e-11
0.8,0.8,0.1,1.1,1.1,0.000115832,3.594414e-11,-0.000115832,-3.6256e-11
0.81,0.81,0.1,1.1,1.1,0.0001128686,3.490942e-11,-0.000112869,-3.52093e-11
0.82,0.82,0.1,1.1,1.1,0.0001098445,3.390332e-11,-0.000109845,-3.41916e-11
0.83,0.83,0.1,1.1,1.1,0.0001067598,3.292511e-11,-0.00010676,-3.32017e-11
0.84,0.84,0.1,1.1,1.1,0.0001036144,3.197406e-11,-0.000103614,-3.22392e-11
0.85,0.85,0.1,1.1,1.1,0.0001004081,3.104947e-11,-0.000100408,-3.13033e-11
0.86,0.86,0.1,1.1,1.1,9.71409e-05,3.015062e-11,-9.71409e-05,-3.03932e-11
0.87,0.87,0.1,1.1,1.1,9.381267e-05,2.927689e-11,-9.38127e-05,-2.95084e-11
0.88,0.88,0.1,1.1,1.1,9.042328e-05,2.842758e-11,-9.04233e-05,-2.86479e-11
0.89,0.89,0.1,1.1,1.1,8.697259e-05,2.760203e-11,-8.69726e-05,-2.78115e-11
0.9,0.9,0.1,1.1,1.1,8.346043e-05,2.679966e-11,-8.34604e-05,-2.69983e-11
0.91,0.91,0.1,1.1,1.1,7.988664e-05,2.601983e-11,-7.98866e-05,-2.62077e-11
0.92,0.92,0.1,1.1,1.1,7.625105e-05,2.526196e-11,-7.6251e-05,-2.5439e-11
0.93,0.93,0.1,1.1,1.1,7.255346e-05,2.452541e-11,-7.25535e-05,-2.46918e-11
0.94,0.94,0.1,1.1,1.1,6.879369e-05,2.380969e-11,-6.87937e-05,-2.39654e-11
0.95,0.95,0.1,1.1,1.1,6.497153e-05,2.31142e-11,-6.49715e-05,-2.32593e-11
0.96,0.96,0.1,1.1,1.1,6.108678e-05,2.24384e-11,-6.10868e-05,-2.25731e-11
0.97,0.97,0.1,1.1,1.1,5.713922e-05,2.178177e-11,-5.71392e-05,-2.1906e-11
0.98,0.98,0.1,1.1,1.1,5.312863e-05,2.114378e-11,-5.31286e-05,-2.12575e-11
0.99,0.99,0.1,1.1,1.1,4.905479e-05,2.052394e-11,-4.90548e-05,-2.06274e-11
1.0,1.0,0.1,1.1,1.1,4.491747e-05,1.992174e-11,-4.49175e-05,-2.00149e-11
1.01,1.01,0.1,1.1,1.1,4.071644e-05,1.933674e-11,-4.07164e-05,-1.94195e-11
1.02,1.02,0.1,1.1,1.1,3.645147e-05,1.876842e-11,-3.64515e-05,-1.88408e-11
1.03,1.03,0.1,1.1,1.1,3.21223e-05,1.821637e-11,-3.21223e-05,-1.82785e-11
1.04,1.04,0.1,1.1,1.1,2.772871e-05,1.768014e-11,-2.77287e-05,-1.77321e-11
1.05,1.05,0.1,1.1,1.1,2.327043e-05,1.715926e-11,-2.32704e-05,-1.7201e-11
1.06,1.06,0.1,1.1,1.1,1.874723e-05,1.665332e-11,-1.87472e-05,-1.66849e-11
1.07,1.07,0.1,1.1,1.1,1.415884e-05,1.616195e-11,-1.41588e-05,-1.61832e-11
1.08,1.08,0.1,1.1,1.1,9.505014e-06,1.568472e-11,-9.50501e-06,-1.5696e-11
1.09,1.09,0.1,1.1,1.1,4.785488e-06,1.522124e-11,-4.78549e-06,-1.52225e-11
1.1,1.1,0.1,1.1,1.1,-4.46148e-15,1.477111e-11,-4.4609e-15,-1.47621e-11
0.0,0.0,0.2,1.1,1.1,0.0002116706,6.060363e-11,-0.000211671,-6.30131e-11
0.01,0.01,0.2,1.1,1.1,0.0002099069,5.890946e-11,-0.000209907,-6.12828e-11
0.02,0.02,0.2,1.1,1.1,0.0002082529,5.730288e-11,-0.000208253,-5.96406e-11
0.03,0.03,0.2,1.1,1.1,0.0002066203,5.571671e-11,-0.00020662,-5.8019e-11
0.04,0.04,0.2,1.1,1.1,0.0002050333,5.417194e-11,-0.000205033,-5.64389e-11
0.05,0.05,0.2,1.1,1.1,0.0002034882,5.266768e-11,-0.000203488,-5.48995e-11
0.06,0.06,0.2,1.1,1.1,0.0002019816,5.120288e-11,-0.000201982,-5.33999e-11
0.07,0.07,0.2,1.1,1.1,0.0002005103,4.977668e-11,-0.00020051,-5.19391e-11
0.08,0.08,0.2,1.1,1.1,0.000199071,4.83881e-11,-0.000199071,-5.05162e-11
0.09,0.09,0.2,1.1,1.1,0.0001976608,4.703626e-11,-0.000197661,-4.91301e-11
0.1,0.1,0.2,1.1,1.1,0.0001962771,4.572026e-11,-0.000196277,-4.77803e-11
0.11,0.11,0.2,1.1,1.1,0.0001949172,4.443926e-11,-0.000194917,-4.64655e-11
0.12,0.12,0.2,1.1,1.1,0.0001935787,4.319237e-11,-0.000193579,-4.51851e-11
0.13,0.13,0.2,1.1,1.1,0.0001922594,4.197881e-11,-0.000192259,-4.39382e-11
