v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,0.0,2.624598e-46,4.815954e-46,2.62961e-46,-1.00702e-45
0.01,0.01,0.0,0.0,0.0,-1.8637e-11,7.812613e-15,1.861922e-11,1.000289e-14
0.02,0.02,0.0,0.0,0.0,-3.33447e-11,1.692482e-14,3.33078e-11,2.000484e-14
0.03,0.03,0.0,0.0,0.0,-4.45699e-11,2.741547e-14,4.45125e-11,3.000617e-14
0.04,0.04,0.0,0.0,0.0,-5.30695e-11,3.936689e-14,5.299008e-11,4.000707e-14
0.05,0.05,0.0,0.0,0.0,-5.97127e-11,5.286501e-14,5.960987e-11,5.000769e-14
0.06,0.06,0.0,0.0,0.0,-6.52479e-11,6.799953e-14,6.511993e-11,6.000811e-14
0.07,0.07,0.0,0.0,0.0,-7.01936e-11,8.486401e-14,7.003876e-11,7.000839e-14
0.08,0.08,0.0,0.0,0.0,-7.48674e-11,1.035561e-13,7.46838e-11,8.000859e-14
0.09,0.09,0.0,0.0,0.0,-7.94557e-11,1.241776e-13,7.924147e-11,9.000873e-14
0.1,0.1,0.0,0.0,0.0,-8.40698e-11,1.468348e-13,8.382293e-11,1.000088e-13
0.11,0.11,0.0,0.0,0.0,-8.87794e-11,1.716384e-13,8.849775e-11,1.100089e-13
0.12,0.12,0.0,0.0,0.0,-9.36312e-11,1.987038e-13,9.331249e-11,1.200089e-13
0.13,0.13,0.0,0.0,0.0,-9.86589e-11,2.281513e-13,9.830078e-11,1.30009e-13
0.14,0.14,0.0,0.0,0.0,-1.03889e-10,2.601062e-13,1.034888e-10,1.40009e-13
0.15,0.15,0.0,0.0,0.0,-1.09343e-10,2.946993e-13,1.088985e-10,1.500091e-13
0.16,0.16,0.0,0.0,0.0,-1.15041e-10,3.320665e-13,1.145493e-10,1.600091e-13
0.17,0.17,0.0,0.0,0.0,-1.21001e-10,3.723496e-13,1.204591e-10,1.700091e-13
0.18,0.18,0.0,0.0,0.0,-1.27241e-10,4.15696e-13,1.266452e-10,1.800091e-13
0.19,0.19,0.0,0.0,0.0,-1.33777e-10,4.622594e-13,1.331248e-10,1.900092e-13
0.2,0.2,0.0,0.0,0.0,-1.40627e-10,5.121996e-13,1.39915e-10,2.000092e-13
0.21,0.21,0.0,0.0,0.0,-1.47809e-10,5.65683e-13,1.470332e-10,2.100092e-13
0.22,0.22,0.0,0.0,0.0,-1.5534e-10,6.228829e-13,1.544971e-10,2.200092e-13
0.23,0.23,0.0,0.0,0.0,-1.63239e-10,6.839792e-13,1.623253e-10,2.300093e-13
0.24,0.24,0.0,0.0,0.0,-1.71526e-10,7.491594e-13,1.705368e-10,2.400093e-13
0.25,0.25,0.0,0.0,0.0,-1.8022e-10,8.186184e-13,1.791515e-10,2.500093e-13
0.26,0.26,0.0,0.0,0.0,-1.89343e-10,8.925587e-13,1.8819e-10,2.600094e-13
0.27,0.27,0.0,0.0,0.0,-1.98915e-10,9.711913e-13,1.976739e-10,2.700094e-13
0.28,0.28,0.0,0.0,0.0,-2.0896e-10,1.054735e-12,2.076257e-10,2.800095e-13
