v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,0.0,6.578688e-46,1.324647e-45,6.570024e-46,-2.63952e-45
0.01,0.01,0.0,0.0,0.0,-3.2511e-11,1.362665e-14,3.248733e-11,1.000461e-14
0.02,0.02,0.0,0.0,0.0,-5.81702e-11,2.952003e-14,5.812068e-11,2.000774e-14
0.03,0.03,0.0,0.0,0.0,-7.77543e-11,4.781767e-14,7.767645e-11,3.000987e-14
0.04,0.04,0.0,0.0,0.0,-9.25816e-11,6.866317e-14,9.247296e-11,4.001131e-14
0.05,0.05,0.0,0.0,0.0,-1.04168e-10,9.220642e-14,1.040258e-10,5.001229e-14
0.06,0.06,0.0,0.0,0.0,-1.13819e-10,1.186038e-13,1.136405e-10,6.001296e-14
0.07,0.07,0.0,0.0,0.0,-1.2244e-10,1.480186e-13,1.222224e-10,7.001342e-14
0.08,0.08,0.0,0.0,0.0,-1.30587e-10,1.806211e-13,1.30326e-10,8.001373e-14
0.09,0.09,0.0,0.0,0.0,-1.38584e-10,2.165889e-13,1.382769e-10,9.001396e-14
0.1,0.1,0.0,0.0,0.0,-1.46625e-10,2.561073e-13,1.462694e-10,1.000141e-13
0.11,0.11,0.0,0.0,0.0,-1.54834e-10,2.993693e-13,1.544248e-10,1.100142e-13
0.12,0.12,0.0,0.0,0.0,-1.63291e-10,3.465763e-13,1.628244e-10,1.200143e-13
0.13,0.13,0.0,0.0,0.0,-1.72055e-10,3.979383e-13,1.715269e-10,1.300144e-13
0.14,0.14,0.0,0.0,0.0,-1.81172e-10,4.536737e-13,1.805781e-10,1.400144e-13
0.15,0.15,0.0,0.0,0.0,-1.9068e-10,5.140104e-13,1.900161e-10,1.500145e-13
0.16,0.16,0.0,0.0,0.0,-2.00614e-10,5.791858e-13,1.998747e-10,1.600145e-13
0.17,0.17,0.0,0.0,0.0,-2.11005e-10,6.494469e-13,2.101855e-10,1.700146e-13
0.18,0.18,0.0,0.0,0.0,-2.21884e-10,7.250512e-13,2.209785e-10,1.800146e-13
0.19,0.19,0.0,0.0,0.0,-2.3328e-10,8.062664e-13,2.322835e-10,1.900147e-13
0.2,0.2,0.0,0.0,0.0,-2.45224e-10,8.933714e-13,2.441305e-10,2.000147e-13
0.21,0.21,0.0,0.0,0.0,-2.57746e-10,9.866565e-13,2.565498e-10,2.100147e-13
