v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,1.1,1.1,3.71754e-05,1.53598e-10,-3.71754e-05,-1.54893e-10
0.01,0.01,0.0,1.1,1.1,3.696773e-05,1.505555e-10,-3.69677e-05,-1.51836e-10
0.02,0.02,0.0,1.1,1.1,3.676699e-05,1.47608e-10,-3.6767e-05,-1.48874e-10
0.03,0.03,0.0,1.1,1.1,3.656739e-05,1.446835e-10,-3.65674e-05,-1.45936e-10
0.04,0.04,0.0,1.1,1.1,3.637037e-05,1.418053e-10,-3.63704e-05,-1.43043e-10
0.05,0.05,0.0,1.1,1.1,3.617561e-05,1.38973e-10,-3.61756e-05,-1.40197e-10
0.06,0.06,0.0,1.1,1.1,3.598279e-05,1.36186e-10,-3.59828e-05,-1.37396e-10
0.07,0.07,0.0,1.1,1.1,3.579164e-05,1.334437e-10,-3.57916e-05,-1.34639e-10
0.08,0.08,0.0,1.1,1.1,3.560192e-05,1.307459e-10,-3.56019e-05,-1.31927e-10
0.09,0.09,0.0,1.1,1.1,3.541339e-05,1.280918e-10,-3.54134e-05,-1.29259e-10
0.1,0.1,0.0,1.1,1.1,3.522585e-05,1.254811e-10,-3.52259e-05,-1.26635e-10
0.11,0.11,0.0,1.1,1.1,3.503911e-05,1.229132e-10,-3.50391e-05,-1.24053e-10
0.12,0.12,0.0,1.1,1.1,3.485302e-05,1.203878e-10,-3.4853e-05,-1.21514e-10
0.13,0.13,0.0,1.1,1.1,3.466741e-05,1.179042e-10,-3.46674e-05,-1.19016e-10
0.14,0.14,0.0,1.1,1.1,3.448216e-05,1.15462e-10,-3.44822e-05,-1.1656e-10
0.15,0.15,0.0,1.1,1.1,3.429715e-05,1.130608e-10,-3.42971e-05,-1.14145e-10
0.16,0.16,0.0,1.1,1.1,3.411227e-05,1.107001e-10,-3.41123e-05,-1.11771e-10
0.17,0.17,0.0,1.1,1.1,3.392745e-05,1.083793e-10,-3.39274e-05,-1.09436e-10
0.18,0.18,0.0,1.1,1.1,3.374259e-05,1.060981e-10,-3.37426e-05,-1.07142e-10
0.19,0.19,0.0,1.1,1.1,3.355761e-05,1.038559e-10,-3.35576e-05,-1.04886e-10
0.2,0.2,0.0,1.1,1.1,3.337246e-05,1.016524e-10,-3.33725e-05,-1.02669e-10
0.21,0.21,0.0,1.1,1.1,3.318707e-05,9.9487e-11,-3.31871e-05,-1.0049e-10
0.22,0.22,0.0,1.1,1.1,3.300138e-05,9.735928e-11,-3.30014e-05,-9.83485e-11
0.23,0.23,0.0,1.1,1.1,3.281534e-05,9.526879e-11,-3.28153e-05,-9.62446e-11
0.24,0.24,0.0,1.1,1.1,3.26289e-05,9.321508e-11,-3.26289e-05,-9.41774e-11
0.25,0.25,0.0,1.1,1.1,3.244201e-05,9.11977e-11,-3.2442e-05,-9.21465e-11
0.26,0.26,0.0,1.1,1.1,3.225461e-05,8.921619e-11,-3.22546e-05,-9.01517e-11
0.27,0.27,0.0,1.1,1.1,3.206665e-05,8.727012e-11,-3.20666e-05,-8.81924e-11
0.28,0.28,0.0,1.1,1.1,3.187808e-05,8.535903e-11,-3.18781e-05,-8.6268e-11
0.29,0.29,0.0,1.1,1.1,3.168885e-05,8.348249e-11,-3.16888e-05,-8.43782e-11
0.3,0.3,0.0,1.1,1.1,3.149888e-05,8.164006e-11,-3.14989e-05,-8.25226e-11
0.31,0.31,0.0,1.1,1.1,3.130812e-05,7.98313e-11,-3.13081e-05,-8.07006e-11
0.32,0.32,0.0,1.1,1.1,3.111649e-05,7.805577e-11,-3.11165e-05,-7.8912e-11
0.33,0.33,0.0,1.1,1.1,3.092392e-05,7.631304e-11,-3.09239e-05,-7.71562e-11
0.34,0.34,0.0,1.1,1.1,3.073032e-05,7.460269e-11,-3.07303e-05,-7.54328e-11
0.35,0.35,0.0,1.1,1.1,3.053561e-05,7.292429e-11,-3.05356e-05,-7.37414e-11
0.36,0.36,0.0,1.1,1.1,3.033969e-05,7.12774e-11,-3.03397e-05,-7.20816e-11
