v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,0.0,2.8725e-47,3.356462e-47,2.852209e-47,-9.08117e-47
0.01,0.01,0.0,0.0,0.0,-5.27936e-12,1.838858e-15,5.267521e-12,1.00014e-14
0.02,0.02,0.0,0.0,0.0,-8.52505e-12,4.329604e-15,8.500721e-12,2.000195e-14
0.03,0.03,0.0,0.0,0.0,-1.13942e-11,7.013259e-15,1.135717e-11,3.000248e-14
0.04,0.04,0.0,0.0,0.0,-1.35681e-11,1.00706e-14,1.351805e-11,4.000284e-14
0.05,0.05,0.0,0.0,0.0,-1.52697e-11,1.352361e-14,1.52062e-11,5.000309e-14
0.06,0.06,0.0,0.0,0.0,-1.66899e-11,1.739523e-14,1.661249e-11,6.000325e-14
0.07,0.07,0.0,0.0,0.0,-1.79605e-11,2.17094e-14,1.786877e-11,7.000337e-14
0.08,0.08,0.0,0.0,0.0,-1.91621e-11,2.64911e-14,1.905558e-11,8.000345e-14
0.09,0.09,0.0,0.0,0.0,-2.0342e-11,3.176637e-14,2.022025e-11,9.00035e-14
0.1,0.1,0.0,0.0,0.0,-2.15286e-11,3.75624e-14,2.1391e-11,1.000035e-13
0.11,0.11,0.0,0.0,0.0,-2.27395e-11,4.39075e-14,2.258554e-11,1.100036e-13
0.12,0.12,0.0,0.0,0.0,-2.39866e-11,5.08312e-14,2.381573e-11,1.200036e-13
0.13,0.13,0.0,0.0,0.0,-2.52785e-11,5.836428e-14,2.509015e-11,1.300036e-13
0.14,0.14,0.0,0.0,0.0,-2.6622e-11,6.653881e-14,2.64155e-11,1.400036e-13
0.15,0.15,0.0,0.0,0.0,-2.80228e-11,7.53882e-14,2.779737e-11,1.500036e-13
0.16,0.16,0.0,0.0,0.0,-2.94857e-11,8.494725e-14,2.924073e-11,1.600036e-13
0.17,0.17,0.0,0.0,0.0,-3.10154e-11,9.525222e-14,3.075018e-11,1.700036e-13
0.18,0.18,0.0,0.0,0.0,-3.26165e-11,1.063408e-13,3.233014e-11,1.800036e-13
0.19,0.19,0.0,0.0,0.0,-3.42932e-11,1.182524e-13,3.398498e-11,1.900036e-13
0.2,0.2,0.0,0.0,0.0,-3.60501e-11,1.310278e-13,3.571908e-11,2.000037e-13
0.21,0.21,0.0,0.0,0.0,-3.78916e-11,1.447096e-13,3.753688e-11,2.100037e-13
0.22,0.22,0.0,0.0,0.0,-3.98223e-11,1.593421e-13,3.944294e-11,2.200037e-13
0.23,0.23,0.0,0.0,0.0,-4.18469e-11,1.749714e-13,4.144197e-11,2.300037e-13
0.24,0.24,0.0,0.0,0.0,-4.39705e-11,1.916454e-13,4.353884e-11,2.400037e-13
0.25,0.25,0.0,0.0,0.0,-4.6198e-11,2.09414e-13,4.573862e-11,2.500037e-13
0.26,0.26,0.0,0.0,0.0,-4.85349e-11,2.28329e-13,4.804658e-11,2.600037e-13
0.27,0.27,0.0,0.0,0.0,-5.09867e-11,2.484443e-13,5.046823e-11,2.700037e-13
0.28,0.28,0.0,0.0,0.0,-5.35592e-11,2.698159e-13,5.300934e-11,2.800037e-13
0.29,0.29,0.0,0.0,0.0,-5.62584e-11,2.925022e-13,5.567593e-11,2.900037e-13
0.3,0.3,0.0,0.0,0.0,-5.90909e-11,3.165635e-13,5.847429e-11,3.000038e-13
0.31,0.31,0.0,0.0,0.0,-6.20631e-11,3.42063e-13,6.141103e-11,3.100038e-13
