v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,0.0,-2.36149e-46,-4.62281e-46,-2.38205e-46,9.366353e-46
0.01,0.01,0.0,0.0,0.0,-2.55739e-11,1.071963e-14,2.555319e-11,1.000375e-14
0.02,0.02,0.0,0.0,0.0,-4.57573e-11,2.322242e-14,4.571407e-11,2.000629e-14
0.03,0.03,0.0,0.0,0.0,-6.11618e-11,3.761657e-14,6.109422e-11,3.000802e-14
0.04,0.04,0.0,0.0,0.0,-7.28252e-11,5.401503e-14,7.27312e-11,4.000919e-14
0.05,0.05,0.0,0.0,0.0,-8.194e-11,7.253571e-14,8.181749e-11,5.000999e-14
0.06,0.06,0.0,0.0,0.0,-8.95332e-11,9.330167e-14,8.937985e-11,6.001053e-14
0.07,0.07,0.0,0.0,0.0,-9.63166e-11,1.164413e-13,9.613019e-11,7.00109e-14
0.08,0.08,0.0,0.0,0.0,-1.02727e-10,1.420886e-13,1.025045e-10,8.001116e-14
0.09,0.09,0.0,0.0,0.0,-1.09019e-10,1.703833e-13,1.087588e-10,9.001134e-14
0.1,0.1,0.0,0.0,0.0,-1.15347e-10,2.01471e-13,1.150457e-10,1.000115e-13
0.11,0.11,0.0,0.0,0.0,-1.21806e-10,2.355038e-13,1.214608e-10,1.100116e-13
0.12,0.12,0.0,0.0,0.0,-1.28461e-10,2.726401e-13,1.28068e-10,1.200116e-13
0.13,0.13,0.0,0.0,0.0,-1.35356e-10,3.130448e-13,1.349134e-10,1.300117e-13
0.14,0.14,0.0,0.0,0.0,-1.4253e-10,3.5689e-13,1.42033e-10,1.400117e-13
0.15,0.15,0.0,0.0,0.0,-1.50011e-10,4.043549e-13,1.494568e-10,1.500118e-13
0.16,0.16,0.0,0.0,0.0,-1.57827e-10,4.556262e-13,1.572115e-10,1.600118e-13
0.17,0.17,0.0,0.0,0.0,-1.66003e-10,5.108983e-13,1.653218e-10,1.700118e-13
0.18,0.18,0.0,0.0,0.0,-1.74562e-10,5.703736e-13,1.738113e-10,1.800119e-13
0.19,0.19,0.0,0.0,0.0,-1.83528e-10,6.342629e-13,1.827036e-10,1.900119e-13
0.2,0.2,0.0,0.0,0.0,-1.92925e-10,7.027855e-13,1.920222e-10,2.000119e-13
0.21,0.21,0.0,0.0,0.0,-2.02777e-10,7.761698e-13,2.017909e-10,2.10012e-13
0.22,0.22,0.0,0.0,0.0,-2.13109e-10,8.546532e-13,2.120342e-10,2.20012e-13
0.23,0.23,0.0,0.0,0.0,-2.23946e-10,9.384831e-13,2.227774e-10,2.300121e-13
0.24,0.24,0.0,0.0,0.0,-2.35315e-10,1.027916e-12,2.340467e-10,2.400121e-13
0.25,0.25,0.0,0.0,0.0,-2.47242e-10,1.123221e-12,2.458692e-10,2.500122e-13
0.26,0.26,0.0,0.0,0.0,-2.59758e-10,1.224674e-12,2.582735e-10,2.600122e-13
0.27,0.27,0.0,0.0,0.0,-2.72892e-10,1.332565e-12,2.71289e-10,2.700123e-13
0.28,0.28,0.0,0.0,0.0,-2.86674e-10,1.447194e-12,2.849468e-10,2.800123e-13
0.29,0.29,0.0,0.0,0.0,-3.01138e-10,1.568875e-12,2.992792e-10,2.900124e-13
0.3,0.3,0.0,0.0,0.0,-3.16318e-10,1.697932e-12,3.1432e-10,3.000125e-13
0.31,0.31,0.0,0.0,0.0,-3.3225e-10,1.834701e-12,3.301048e-10,3.100125e-13
0.32,0.32,0.0,0.0,0.0,-3.4897e-10,1.979535e-12,3.466708e-10,3.200126e-13
0.33,0.33,0.0,0.0,0.0,-3.6652e-10,2.132796e-12,3.640568e-10,3.300127e-13
0.34,0.34,0.0,0.0,0.0,-3.84939e-10,2.294864e-12,3.823037e-10,3.400128e-13
0.35,0.35,0.0,0.0,0.0,-4.0427e-10,2.466131e-12,4.014543e-10,3.500129e-13
0.36,0.36,0.0,0.0,0.0,-4.2456e-10,2.647005e-12,4.215534e-10,3.60013e-13
0.37,0.37,0.0,0.0,0.0,-4.45856e-10,2.83791e-12,4.426482e-10,3.700131e-13
0.38,0.38,0.0,0.0,0.0,-4.68207e-10,3.039286e-12,4.647881e-10,3.800132e-13
0.39,0.39,0.0,0.0,0.0,-4.91666e-10,3.25159e-12,4.880247e-10,3.900134e-13
0.4,0.4,0.0,0.0,0.0,-5.16288e-10,3.475296e-12,5.124124e-10,4.000135e-13
0.41,0.41,0.0,0.0,0.0,-5.42129e-10,3.710895e-12,5.380083e-10,4.100136e-13
0.42,0.42,0.0,0.0,0.0,-5.69251e-10,3.958898e-12,5.648722e-10,4.200138e-13
0.43,0.43,0.0,0.0,0.0,-5.97717e-10,4.219836e-12,5.930668e-10,4.30014e-13
0.44,0.44,0.0,0.0,0.0,-6.27592e-10,4.494257e-12,6.226581e-10,4.400141e-13
0.45,0.45,0.0,0.0,0.0,-6.58948e-10,4.782732e-12,6.537152e-10,4.500143e-13
0.46,0.46,0.0,0.0,0.0,-6.91857e-10,5.085853e-12,6.863109e-10,4.600145e-13
0.47,0.47,0.0,0.0,0.0,-7.26396e-10,5.404233e-12,7.205215e-10,4.700148e-13
