v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,1.1,1.1,0.000232567,1.047259e-09,-0.000232567,-1.04953e-09
0.01,0.01,0.0,1.1,1.1,0.0002313479,1.026515e-09,-0.000231348,-1.02875e-09
0.02,0.02,0.0,1.1,1.1,0.0002301609,1.006418e-09,-0.000230161,-1.00862e-09
0.03,0.03,0.0,1.1,1.1,0.0002289789,9.864784e-10,-0.000228979,-9.88645e-10
0.04,0.04,0.0,1.1,1.1,0.0002278084,9.668545e-10,-0.000227808,-9.68986e-10
0.05,0.05,0.0,1.1,1.1,0.0002266478,9.47543e-10,-0.000226648,-9.49639e-10
0.06,0.06,0.0,1.1,1.1,0.0002254955,9.285405e-10,-0.000225495,-9.30602e-10
0.07,0.07,0.0,1.1,1.1,0.0002243501,9.098436e-10,-0.00022435,-9.1187e-10
0.08,0.08,0.0,1.1,1.1,0.0002232105,8.914489e-10,-0.00022321,-8.93441e-10
0.09,0.09,0.0,1.1,1.1,0.0002220754,8.733531e-10,-0.000222075,-8.75311e-10
0.1,0.1,0.0,1.1,1.1,0.0002209439,8.555528e-10,-0.000220944,-8.57476e-10
0.11,0.11,0.0,1.1,1.1,0.000219815,8.380447e-10,-0.000219815,-8.39934e-10
0.12,0.12,0.0,1.1,1.1,0.0002186881,8.208256e-10,-0.000218688,-8.22681e-10
0.13,0.13,0.0,1.1,1.1,0.0002175622,8.038921e-10,-0.000217562,-8.05715e-10
0.14,0.14,0.0,1.1,1.1,0.0002164369,7.87241e-10,-0.000216437,-7.8903e-10
0.15,0.15,0.0,1.1,1.1,0.0002153114,7.708691e-10,-0.000215311,-7.72625e-10
0.16,0.16,0.0,1.1,1.1,0.0002141854,7.547731e-10,-0.000214185,-7.56497e-10
0.17,0.17,0.0,1.1,1.1,0.0002130583,7.389498e-10,-0.000213058,-7.40641e-10
0.18,0.18,0.0,1.1,1.1,0.0002119298,7.23396e-10,-0.00021193,-7.25055e-10
0.19,0.19,0.0,1.1,1.1,0.0002107994,7.081086e-10,-0.000210799,-7.09735e-10
0.2,0.2,0.0,1.1,1.1,0.0002096667,6.930845e-10,-0.000209667,-6.94679e-10
0.21,0.21,0.0,1.1,1.1,0.0002085315,6.783203e-10,-0.000208532,-6.79883e-10
0.22,0.22,0.0,1.1,1.1,0.0002073935,6.638132e-10,-0.000207393,-6.65345e-10
0.23,0.23,0.0,1.1,1.1,0.0002062521,6.495599e-10,-0.000206252,-6.5106e-10
0.24,0.24,0.0,1.1,1.1,0.0002051073,6.355573e-10,-0.000205107,-6.37026e-10
0.25,0.25,0.0,1.1,1.1,0.0002039585,6.218024e-10,-0.000203959,-6.23241e-10
0.26,0.26,0.0,1.1,1.1,0.0002028056,6.082921e-10,-0.000202806,-6.097e-10
0.27,0.27,0.0,1.1,1.1,0.000201648,5.950235e-10,-0.000201648,-5.96401e-10
0.28,0.28,0.0,1.1,1.1,0.0002004855,5.819933e-10,-0.000200485,-5.83341e-10
0.29,0.29,0.0,1.1,1.1,0.0001993175,5.691987e-10,-0.000199318,-5.70516e-10
0.3,0.3,0.0,1.1,1.1,0.0001981437,5.566367e-10,-0.000198144,-5.57925e-10
0.31,0.31,0.0,1.1,1.1,0.0001969636,5.443042e-10,-0.000196964,-5.45563e-10
0.32,0.32,0.0,1.1,1.1,0.0001957766,5.321983e-10,-0.000195777,-5.33428e-10
0.33,0.33,0.0,1.1,1.1,0.0001945822,5.203161e-10,-0.000194582,-5.21517e-10
0.34,0.34,0.0,1.1,1.1,0.0001933797,5.086546e-10,-0.00019338,-5.09827e-10
0.35,0.35,0.0,1.1,1.1,0.0001921684,4.97211e-10,-0.000192168,-4.98355e-10
0.36,0.36,0.0,1.1,1.1,0.0001909477,4.859822e-10,-0.000190948,-4.87099e-10
0.37,0.37,0.0,1.1,1.1,0.0001897167,4.749654e-10,-0.000189717,-4.76054e-10
0.38,0.38,0.0,1.1,1.1,0.0001884745,4.641578e-10,-0.000188474,-4.65219e-10
0.39,0.39,0.0,1.1,1.1,0.0001872201,4.535565e-10,-0.00018722,-4.54591e-10
0.4,0.4,0.0,1.1,1.1,0.0001859524,4.431587e-10,-0.000185952,-4.44167e-10
0.41,0.41,0.0,1.1,1.1,0.0001846704,4.329615e-10,-0.00018467,-4.33943e-10
0.42,0.42,0.0,1.1,1.1,0.0001833726,4.229621e-10,-0.000183373,-4.23918e-10
0.43,0.43,0.0,1.1,1.1,0.0001820579,4.131578e-10,-0.000182058,-4.14088e-10
0.44,0.44,0.0,1.1,1.1,0.0001807245,4.035457e-10,-0.000180725,-4.0445e-10
0.45,0.45,0.0,1.1,1.1,0.0001793711,3.941232e-10,-0.000179371,-3.95003e-10
0.46,0.46,0.0,1.1,1.1,0.0001779958,3.848874e-10,-0.000177996,-3.85743e-10
0.47,0.47,0.0,1.1,1.1,0.0001765967,3.758357e-10,-0.000176597,-3.76667e-10
0.48,0.48,0.0,1.1,1.1,0.0001751721,3.669653e-10,-0.000175172,-3.67773e-10
0.49,0.49,0.0,1.1,1.1,0.0001737197,3.582736e-10,-0.00017372,-3.59058e-10
0.5,0.5,0.0,1.1,1.1,0.0001722376,3.497578e-10,-0.000172238,-3.5052e-10
0.51,0.51,0.0,1.1,1.1,0.0001707236,3.414154e-10,-0.000170724,-3.42156e-10
0.52,0.52,0.0,1.1,1.1,0.0001691755,3.332437e-10,-0.000169176,-3.33963e-10
0.53,0.53,0.0,1.1,1.1,0.0001675912,3.2524e-10,-0.000167591,-3.25938e-10
0.54,0.54,0.0,1.1,1.1,0.0001659686,3.174019e-10,-0.000165969,-3.18079e-10
0.55,0.55,0.0,1.1,1.1,0.0001643058,3.097266e-10,-0.000164306,-3.10384e-10
0.56,0.56,0.0,1.1,1.1,0.000162601,3.022116e-10,-0.000162601,-3.0285e-10
0.57,0.57,0.0,1.1,1.1,0.0001608526,2.948544e-10,-0.000160853,-2.95474e-10
0.58,0.58,0.0,1.1,1.1,0.0001590592,2.876525e-10,-0.000159059,-2.88254e-10
