v-sweep,v(drain),v(gate),v(source),v(body),i(vd),i(vg),i(vs),i(vb)
0.0,0.0,0.0,0.0,0.0,-7.34168e-46,-1.51144e-45,-7.41578e-46,2.987182e-45
0.01,0.01,0.0,0.0,0.0,-3.94481e-11,1.653367e-14,3.942156e-11,1.000548e-14
0.02,0.02,0.0,0.0,0.0,-7.05833e-11,3.581763e-14,7.052747e-11,2.000919e-14
0.03,0.03,0.0,0.0,0.0,-9.4347e-11,5.801878e-14,9.425894e-11,3.001171e-14
0.04,0.04,0.0,0.0,0.0,-1.12338e-10,8.331132e-14,1.12215e-10,4.001342e-14
0.05,0.05,0.0,0.0,0.0,-1.26396e-10,1.118771e-13,1.262346e-10,5.001459e-14
0.06,0.06,0.0,0.0,0.0,-1.38106e-10,1.43906e-13,1.379016e-10,6.001538e-14
0.07,0.07,0.0,0.0,0.0,-1.48565e-10,1.795959e-13,1.483151e-10,7.001593e-14
0.08,0.08,0.0,0.0,0.0,-1.58447e-10,2.191536e-13,1.581479e-10,8.001631e-14
0.09,0.09,0.0,0.0,0.0,-1.68148e-10,2.627945e-13,1.677955e-10,9.001657e-14
0.1,0.1,0.0,0.0,0.0,-1.77904e-10,3.107435e-13,1.774934e-10,1.000168e-13
0.11,0.11,0.0,0.0,0.0,-1.87862e-10,3.632347e-13,1.873891e-10,1.100169e-13
0.12,0.12,0.0,0.0,0.0,-1.98122e-10,4.205126e-13,1.975812e-10,1.20017e-13
0.13,0.13,0.0,0.0,0.0,-2.08754e-10,4.828317e-13,2.081409e-10,1.300171e-13
0.14,0.14,0.0,0.0,0.0,-2.19814e-10,5.504574e-13,2.191237e-10,1.400171e-13
0.15,0.15,0.0,0.0,0.0,-2.3135e-10,6.23666e-13,2.305758e-10,1.500172e-13
0.16,0.16,0.0,0.0,0.0,-2.43401e-10,7.027455e-13,2.425385e-10,1.600173e-13
0.17,0.17,0.0,0.0,0.0,-2.56008e-10,7.879956e-13,2.550497e-10,1.700173e-13
0.18,0.18,0.0,0.0,0.0,-2.69206e-10,8.797287e-13,2.681462e-10,1.800174e-13
0.19,0.19,0.0,0.0,0.0,-2.83032e-10,9.782698e-13,2.81864e-10,1.900174e-13
0.2,0.2,0.0,0.0,0.0,-2.97523e-10,1.083957e-12,2.962394e-10,2.000175e-13
0.21,0.21,0.0,0.0,0.0,-3.12716e-10,1.197143e-12,3.113093e-10,2.100175e-13
0.22,0.22,0.0,0.0,0.0,-3.2865e-10,1.318194e-12,3.271114e-10,2.200176e-13
0.23,0.23,0.0,0.0,0.0,-3.45362e-10,1.447491e-12,3.436847e-10,2.300176e-13
0.24,0.24,0.0,0.0,0.0,-3.62895e-10,1.58543e-12,3.610697e-10,2.400177e-13
0.25,0.25,0.0,0.0,0.0,-3.81291e-10,1.732425e-12,3.793082e-10,2.500178e-13
0.26,0.26,0.0,0.0,0.0,-4.00593e-10,1.888903e-12,3.984441e-10,2.600179e-13
0.27,0.27,0.0,0.0,0.0,-4.20848e-10,2.055312e-12,4.185231e-10,2.70018e-13
0.28,0.28,0.0,0.0,0.0,-4.42105e-10,2.232114e-12,4.395929e-10,2.800181e-13
0.29,0.29,0.0,0.0,0.0,-4.64413e-10,2.419791e-12,4.617034e-10,2.900182e-13
0.3,0.3,0.0,0.0,0.0,-4.87826e-10,2.618844e-12,4.84907e-10,3.000183e-13
0.31,0.31,0.0,0.0,0.0,-5.12398e-10,2.829794e-12,5.092582e-10,3.100184e-13
0.32,0.32,0.0,0.0,0.0,-5.38188e-10,3.053181e-12,5.348146e-10,3.200185e-13
0.33,0.33,0.0,0.0,0.0,-5.65256e-10,3.289567e-12,5.616361e-10,3.300186e-13
0.34,0.34,0.0,0.0,0.0,-5.93665e-10,3.539536e-12,5.897857e-10,3.400188e-13
0.35,0.35,0.0,0.0,0.0,-6.23483e-10,3.803693e-12,6.193295e-10,3.500189e-13
0.36,0.36,0.0,0.0,0.0,-6.54779e-10,4.082669e-12,6.503367e-10,3.600191e-13
0.37,0.37,0.0,0.0,0.0,-6.87627e-10,4.377116e-12,6.8288e-10,3.700193e-13
0.38,0.38,0.0,0.0,0.0,-7.22103e-10,4.687713e-12,7.170354e-10,3.800194e-13
0.39,0.39,0.0,0.0,0.0,-7.58288e-10,5.015164e-12,7.528829e-10,3.900196e-13
0.4,0.4,0.0,0.0,0.0,-7.96266e-10,5.360202e-12,7.905062e-10,4.000199e-13
0.41,0.41,0.0,0.0,0.0,-8.36127e-10,5.723583e-12,8.299935e-10,4.100201e-13
0.42,0.42,0.0,0.0,0.0,-8.77963e-10,6.106097e-12,8.714369e-10,4.200203e-13
0.43,0.43,0.0,0.0,0.0,-9.21872e-10,6.50856e-12,9.149333e-10,4.300206e-13
0.44,0.44,0.0,0.0,0.0,-9.67956e-10,6.93182e-12,9.605844e-10,4.400209e-13
0.45,0.45,0.0,0.0,0.0,-1.01632e-09,7.376756e-12,1.008497e-09,4.500212e-13
0.46,0.46,0.0,0.0,0.0,-1.06709e-09,7.844282e-12,1.058783e-09,4.600215e-13
0.47,0.47,0.0,0.0,0.0,-1.12037e-09,8.335343e-12,1.111561e-09,4.700218e-13
0.48,0.48,0.0,0.0,0.0,-1.17628e-09,8.85092e-12,1.166953e-09,4.800222e-13
0.49,0.49,0.0,0.0,0.0,-1.23497e-09,9.392033e-12,1.225091e-09,4.900225e-13
0.5,0.5,0.0,0.0,0.0,-1.29657e-09,9.959735e-12,1.28611e-09,5.000229e-13
0.51,0.51,0.0,0.0,0.0,-1.36122e-09,1.055512e-11,1.350153e-09,5.100234e-13
0.52,0.52,0.0,0.0,0.0,-1.42907e-09,1.117933e-11,1.417373e-09,5.200238e-13
0.53,0.53,0.0,0.0,0.0,-1.50029e-09,1.183353e-11,1.487927e-09,5.300243e-13
0.54,0.54,0.0,0.0,0.0,-1.57504e-09,1.251894e-11,1.561981e-09,5.400249e-13
0.55,0.55,0.0,0.0,0.0,-1.6535e-09,1.323683e-11,1.639713e-09,5.500254e-13
0.56,0.56,0.0,0.0,0.0,-1.73585e-09,1.398851e-11,1.721305e-09,5.60026e-13
0.57,0.57,0.0,0.0,0.0,-1.8223e-09,1.477533e-11,1.806953e-09,5.700266e-13
0.58,0.58,0.0,0.0,0.0,-1.91304e-09,1.55987e-11,1.89686e-09,5.800273e-13
0.59,0.59,0.0,0.0,0.0,-2.00829e-09,1.646007e-11,1.991242e-09,5.90028e-13
0.6,0.6,0.0,0.0,0.0,-2.10829e-09,1.736096e-11,2.090325e-09,6.000288e-13
0.61,0.61,0.0,0.0,0.0,-2.21326e-09,1.830292e-11,2.194348e-09,6.100296e-13
0.62,0.62,0.0,0.0,0.0,-2.32347e-09,1.928759e-11,2.303563e-09,6.200304e-13
0.63,0.63,0.0,0.0,0.0,-2.43918e-09,2.031662e-11,2.418233e-09,6.300313e-13
0.64,0.64,0.0,0.0,0.0,-2.56067e-09,2.139177e-11,2.538638e-09,6.400323e-13
0.65,0.65,0.0,0.0,0.0,-2.68824e-09,2.251482e-11,2.665073e-09,6.500333e-13
0.66,0.66,0.0,0.0,0.0,-2.82219e-09,2.368765e-11,2.797847e-09,6.600344e-13
0.67,0.67,0.0,0.0,0.0,-2.96287e-09,2.491217e-11,2.937287e-09,6.700356e-13
0.68,0.68,0.0,0.0,0.0,-3.11061e-09,2.61904e-11,3.083738e-09,6.800368e-13
0.69,0.69,0.0,0.0,0.0,-3.26578e-09,2.752438e-11,3.237564e-09,6.900381e-13
0.7,0.7,0.0,0.0,0.0,-3.42876e-09,2.891627e-11,3.399148e-09,7.000395e-13
